Type,Area,Gender, 1978, 1983, 1988, 1994, 2000, 2005, 2010, 2012
Usual Status,All,Total,423.00,420.00,412.00,420.00,397.00,420.00,392.00,386.00
Usual Status,All,Male,543.00,538.00,531.00,545.00,527.00,547.00,546.00,544.00
Usual Status,All,Female,297.00,296.00,285.00,286.00,259.00,287.00,228.00,219.00
Usual Status,Rural,Total,444.00,445.00,434.00,444.00,417.00,439.00,408.00,399.00
Usual Status,Rural,Male,552.00,547.00,539.00,553.00,531.00,546.00,547.00,543.00
Usual Status,Rural,Female,331.00,340.00,323.00,328.00,299.00,327.00,261.00,248.00
Usual Status,Urban,Total,341.00,340.00,337.00,347.00,337.00,365.00,350.00,355.00
Usual Status,Urban,Male,508.00,512.00,506.00,521.00,518.00,549.00,543.00,546.00
Usual Status,Urban,Female,156.00,151.00,152.00,155.00,139.00,166.00,138.00,147.00
Usual Status - Usual Principal Activity,All,Total,371.00,374.00,369.00,375.00,365.00,380.00,365.00,354.00
Usual Status - Usual Principal Activity,All,Male,529.00,521.00,512.00,532.00,520.00,536.00,538.00,537.00
Usual Status - Usual Principal Activity,All,Female,224.00,218.00,217.00,206.00,203.00,215.00,180.00,161.00
Usual Status - Usual Principal Activity,Rural,Total,395.00,391.00,385.00,390.00,380.00,391.00,374.00,359.00
Usual Status - Usual Principal Activity,Rural,Male,537.00,528.00,517.00,538.00,522.00,535.00,537.00,535.00
Usual Status - Usual Principal Activity,Rural,Female,248.00,248.00,245.00,234.00,231.00,242.00,202.00,176.00
Usual Status - Usual Principal Activity,Urban,Total,319.00,320.00,315.00,327.00,324.00,346.00,339.00,342.00
Usual Status - Usual Principal Activity,Urban,Male,497.00,500.00,496.00,513.00,513.00,541.00,539.00,542.00
Usual Status - Usual Principal Activity,Urban,Female,123.00,120.00,118.00,121.00,117.00,135.00,119.00,125.00
Usual Status - Usual Subsidiary Activity,All,Total,52.00,46.00,43.00,45.00,32.00,40.00,27.00,32.00
Usual Status - Usual Subsidiary Activity,All,Male,14.00,17.00,19.00,13.00,7.00,11.00,8.00,7.00
Usual Status - Usual Subsidiary Activity,All,Female,73.00,78.00,68.00,80.00,56.00,72.00,48.00,58.00
Usual Status - Usual Subsidiary Activity,Rural,Total,49.00,54.00,49.00,54.00,37.00,48.00,34.00,40.00
Usual Status - Usual Subsidiary Activity,Rural,Male,15.00,19.00,22.00,15.00,9.00,11.00,10.00,8.00
Usual Status - Usual Subsidiary Activity,Rural,Female,83.00,92.00,78.00,94.00,68.00,85.00,59.00,72.00
Usual Status - Usual Subsidiary Activity,Urban,Total,22.00,20.00,22.00,20.00,13.00,19.00,11.00,13.00
Usual Status - Usual Subsidiary Activity,Urban,Male,11.00,12.00,10.00,8.00,5.00,8.00,4.00,4.00
Usual Status - Usual Subsidiary Activity,Urban,Female,33.00,31.00,34.00,34.00,22.00,31.00,19.00,22.00
