State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andaman & Nicobar,Nicobar,01-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,03-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,04-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,05-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,06-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,07-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,08-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,10-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,11-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,12-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,13-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,14-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,15-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,09-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,16-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,17-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,19-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,18-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,21-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,22-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,23-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,24-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,25-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,26-01-2022,2022,1,0,NRSC VIC MODEL
Andaman & Nicobar,Nicobar,20-01-2022,2022,1,0,NRSC VIC MODEL
